"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3794","Verify that user is able to see real-world examples","","2026-04-08","passed","2026-04-08","","","",""
"","6517","Navigate back to Application page","","2026-04-08","passed","2026-04-08","","","",""
"","7180","Navigate to Try Editor","","2026-04-08","passed","2026-04-08","","","",""
"","2320","Invalid username","","2026-04-08","passed","2026-04-08","","","",""
"","5206","Verify index method example","","2026-04-08","passed","2026-04-08","","","",""
"","10449","Verify that user is able to see output after running code","","2026-04-08","passed","2026-04-08","","","",""
"","6237","Verify navigation to Try Editor from Arrays Using List","","2026-04-08","passed","2026-04-08","","","",""
"","5103","Verify Arrays in Python operations","","2026-04-08","passed","2026-04-08","","","",""
"","7824","Verify that user gets error for invalid input","","2026-04-08","passed","2026-04-08","","","",""
"","2348","Verify alert for dropdown (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","2997","Verify username display","","2026-04-08","passed","2026-04-08","","","",""
"","4893","Verify insert syntax and example","","2026-04-08","passed","2026-04-08","","","",""
"","1827","Verify that user is able to open the application","","2026-04-08","passed","2026-04-08","","","",""
"","2668","Valid login","","2026-04-08","passed","2026-04-08","","","",""
"","7690","Verify that user is able to execute valid python code","","2026-04-08","passed","2026-04-08","","","",""
"","4576","Verify that user is able to see Graph definition","","2026-04-08","passed","2026-04-08","","","",""
"","5311","Handle popup alert in Implementation","","2026-04-08","passed","2026-04-08","","","",""
"","7524","Verify Try Editor page has code text area","","2026-04-08","passed","2026-04-08","","","",""
"","5750","Logout from Practice page","","2026-04-08","passed","2026-04-08","","","",""
"","7762","Run invalid python code","","2026-04-08","passed","2026-04-08","","","",""
"","6384","Verify output for insertion example","","2026-04-08","passed","2026-04-08","","","",""
"","7606","Run invalid python code in Application","","2026-04-08","passed","2026-04-08","","","",""
"","10863","Run invalid code","","2026-04-08","passed","2026-04-08","","","",""
"","1579","Verify page content","","2026-04-08","passed","2026-04-08","","","",""
"","3017","Verify navigation after login","","2026-04-08","passed","2026-04-08","","","",""
"","7250","Verify Max Consecutive Ones question","","2026-04-08","passed","2026-04-08","","","",""
"","5092","Verify list after insertion contains carrots","","2026-04-08","passed","2026-04-08","","","",""
"","3130","Verify navigation after login","","2026-04-08","passed","2026-04-08","","","",""
"","3724","Navigate to Operations in Stack page","","2026-04-08","passed","2026-04-08","","","",""
"","1422","Only password entered","","2026-04-08","passed","2026-04-08","","","",""
"","5493","Verify Arrays in Python page heading","","2026-04-08","passed","2026-04-08","","","",""
"","4130","Navigate to Implementation page","","2026-04-08","passed","2026-04-08","","","",""
"","5116","Verify append operation code snippet","","2026-04-08","passed","2026-04-08","","","",""
"","5833","Verify updated list after append","","2026-04-08","passed","2026-04-08","","","",""
"","6586","Verify navigation to Try Editor from Basic Operations","","2026-04-08","passed","2026-04-08","","","",""
"","4963","Verify list does not contain cucumbers after remove","","2026-04-08","passed","2026-04-08","","","",""
"","6895","Verify navigation to Practice Questions page","","2026-04-08","passed","2026-04-08","","","",""
"","5669","Verify navigation to Applications of Array page","","2026-04-08","passed","2026-04-08","","","",""
"","5414","Verify list can grow and shrink","","2026-04-08","passed","2026-04-08","","","",""
"","1982","Verify alert for cards (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","5254","Verify that user is able to see Incidence Matrix","","2026-04-08","passed","2026-04-08","","","",""
"","6068","Run valid python code","","2026-04-08","passed","2026-04-08","","","",""
"","4744","Verify Basic Operations sidebar links","","2026-04-08","passed","2026-04-08","","","",""
"","5071","Verify update array element example","","2026-04-08","passed","2026-04-08","","","",""
"","3843","Navigate to Practice Questions","","2026-04-08","passed","2026-04-08","","","",""
"","2316","Invalid password","","2026-04-08","passed","2026-04-08","","","",""
"","4788","Verify append code contains oranges","","2026-04-08","passed","2026-04-08","","","",""
"","6828","Verify Try Here button is visible","","2026-04-08","passed","2026-04-08","","","",""
"","1610","Verify content of the page","","2026-04-08","passed","2026-04-08","","","",""
"","1673","Verify Register and Sign in links","","2026-04-08","passed","2026-04-08","","","",""
"","2459","Verify alert for cards (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","5775","Verify navigation to Arrays Using List from Arrays in Python","","2026-04-08","passed","2026-04-08","","","",""
"","1875","Verify alert for cards (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","2105","Verify alert for cards (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","3689","Verify that user is able to navigate to Graph page","","2026-04-08","broken","2026-04-08","","","",""
"","7258","Verify that user is able to navigate to Try Editor","","2026-04-08","passed","2026-04-08","","","",""
"","3104","Verify that user is able to navigate to Home page","","2026-04-08","passed","2026-04-08","","","",""
"","5170","Verify all sidebar links are visible","","2026-04-08","passed","2026-04-08","","","",""
"","5986","Verify navigation to Basic Operations in Lists page","","2026-04-08","passed","2026-04-08","","","",""
"","2172","Keyboard navigation","","2026-04-08","passed","2026-04-08","","","",""
"","3111","Verify alert for dropdown (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","5184","Verify that user is able to navigate to Graph Representations page","","2026-04-08","passed","2026-04-08","","","",""
"","7375","Verify that user gets alert when running without input","","2026-04-08","passed","2026-04-08","","","",""
"","5868","Verify Basic Operations in Lists page content","","2026-04-08","passed","2026-04-08","","","",""
"","5422","Run valid python code in Application","","2026-04-08","passed","2026-04-08","","","",""
"","4831","Verify index starting from 0","","2026-04-08","passed","2026-04-08","","","",""
"","2707","Verify login success","","2026-04-08","passed","2026-04-08","","","",""
"","5019","Verify index positions display","","2026-04-08","passed","2026-04-08","","","",""
"","5758","Verify products list","","2026-04-08","passed","2026-04-08","","","",""
"","4650","Navigate back to Operations page","","2026-04-08","passed","2026-04-08","","","",""
"","5325","Verify that user is able to see Adjacency Matrix","","2026-04-08","passed","2026-04-08","","","",""
"","6391","Verify output for deletion example","","2026-04-08","passed","2026-04-08","","","",""
"","3782","Navigate to Data Structures Introduction","","2026-04-08","passed","2026-04-08","","","",""
"","6476","Verify updated array output","","2026-04-08","passed","2026-04-08","","","",""
"","5278","Verify Arrays in Python page description","","2026-04-08","passed","2026-04-08","","","",""
"","5521","Navigate to Try Editor from Implementation page","","2026-04-08","passed","2026-04-08","","","",""
"","5107","Navigate to Try Editor from Application page","","2026-04-08","passed","2026-04-08","","","",""
"","1451","Empty fields validation","","2026-04-08","passed","2026-04-08","","","",""
"","3235","Verify navigation after login","","2026-04-08","passed","2026-04-08","","","",""
"","1123","Verify presence of Get Started button","","2026-04-08","passed","2026-04-08","","","",""
"","4411","Verify Topics Covered section is visible","","2026-04-08","passed","2026-04-08","","","",""
"","4326","Successful registration","","2026-04-08","passed","2026-04-08","","","",""
"","1369","Verify Home Page Title","","2026-04-08","passed","2026-04-08","","","",""
"","7446","Verify that user is able to execute valid python code in Try Editor","","2026-04-08","passed","2026-04-08","","","",""
"","7038","Verify Squares of a Sorted Array question","","2026-04-08","passed","2026-04-08","","","",""
"","6570","Run without code","","2026-04-08","passed","2026-04-08","","","",""
"","5750","Verify insert method example","","2026-04-08","passed","2026-04-08","","","",""
"","4607","Navigate back to Implementation page","","2026-04-08","passed","2026-04-08","","","",""
"","10681","Verify deletion operation explanation","","2026-04-08","passed","2026-04-08","","","",""
"","3798","Navigate to Time Complexity","","2026-04-08","passed","2026-04-08","","","",""
"","5551","Verify student scores","","2026-04-08","passed","2026-04-08","","","",""
"","5157","Verify temperature records","","2026-04-08","passed","2026-04-08","","","",""
"","5210","Verify grocery list items","","2026-04-08","passed","2026-04-08","","","",""
"","2437","Verify alert for dropdown (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","6539","Handle popup alert","","2026-04-08","passed","2026-04-08","","","",""
"","3712","Verify that user is able to land on home page after login","","2026-04-08","passed","2026-04-08","","","",""
"","5043","Verify that user is able to see Graph applications","","2026-04-08","passed","2026-04-08","","","",""
"","3918","Verify that user is able to navigate to Array page","","2026-04-08","passed","2026-04-08","","","",""
"","2421","Empty fields","","2026-04-08","passed","2026-04-08","","","",""
"","1780","Verify button is enabled","","2026-04-08","passed","2026-04-08","","","",""
"","5274","Verify updated list contains oranges","","2026-04-08","passed","2026-04-08","","","",""
"","4923","Verify Applications of Array list","","2026-04-08","passed","2026-04-08","","","",""
"","5353","Verify Graph Representations page content is visible","","2026-04-08","passed","2026-04-08","","","",""
"","2033","Verify alert for dropdown (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","4815","Verify pop operation","","2026-04-08","passed","2026-04-08","","","",""
"","5505","Verify remove operation explanation","","2026-04-08","passed","2026-04-08","","","",""
"","6150","Verify Arrays Using List page heading","","2026-04-08","passed","2026-04-08","","","",""
"","4022","Verify Array page contains all links","","2026-04-08","passed","2026-04-08","","","",""
"","2901","Verify navigation after login","","2026-04-08","passed","2026-04-08","","","",""
"","9488","Run valid code","","2026-04-08","passed","2026-04-08","","","",""
"","4163","Verify that user is able to see vertices and edges explanation","","2026-04-08","passed","2026-04-08","","","",""
"","5447","Verify rainfall data","","2026-04-08","passed","2026-04-08","","","",""
"","2281","Verify alert for cards (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","5227","Verify Arrays in Python code snippet","","2026-04-08","passed","2026-04-08","","","",""
"","4992","Verify Arrays Using List description about dynamic arrays","","2026-04-08","passed","2026-04-08","","","",""
"","3255","Verify logout","","2026-04-08","passed","2026-04-08","","","",""
"","3643","Verify navigation after login","","2026-04-08","passed","2026-04-08","","","",""
"","4779","Run valid python code in Implementation","","2026-04-08","passed","2026-04-08","","","",""
"","5565","Verify user navigates to Arrays in Python page","","2026-04-08","passed","2026-04-08","","","",""
"","2836","Verify alert for cards (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","9704","Verify that user gets error for invalid input in Try Editor","","2026-04-08","passed","2026-04-08","","","",""
"","2019","Password mismatch","","2026-04-08","passed","2026-04-08","","","",""
"","5471","Verify insertion operation explanation","","2026-04-08","passed","2026-04-08","","","",""
"","1186","Verify state of button","","2026-04-08","passed","2026-04-08","","","",""
"","2787","Verify navigation after login","","2026-04-08","passed","2026-04-08","","","",""
"","5497","Navigate to Application page","","2026-04-08","passed","2026-04-08","","","",""
"","3861","Logout","","2026-04-08","passed","2026-04-08","","","",""
"","5587","Verify index shown for each element","","2026-04-08","passed","2026-04-08","","","",""
"","3086","Navigate to Stack page","","2026-04-08","passed","2026-04-08","","","",""
"","5132","Run invalid python code in Implementation","","2026-04-08","passed","2026-04-08","","","",""
"","2577","Verify Sign in navigation","","2026-04-08","passed","2026-04-08","","","",""
"","5857","Navigate to Practice Questions page","","2026-04-08","passed","2026-04-08","","","",""
"","6141","Navigate to Try Editor from Operations page","","2026-04-08","passed","2026-04-08","","","",""
